,CAUD,CAUD,HIPP,HIPP,IPL,IPL,SMTG,SMTG
,RAD vs NC,RAD vs ADD,RAD vs NC,RAD vs ADD,RAD vs NC,RAD vs ADD,RAD vs NC,RAD vs ADD
ID,,,,,,,,
GO:0030029,2.6666666666666665,-3.0,-3.6666666666666665,-4.333333333333333,-3.3333333333333335,-4.666666666666667,1.6666666666666667,-3.6666666666666665
GO:0009611,2.4009801919951235,-2.057983021710106,-4.115966043420212,-4.801960383990247,-3.2584731177076676,-4.973458969132756,2.743977362280141,-5.144957554275265
GO:0042060,2.4140393963016744,-1.671258043593467,-3.5282114253639856,-4.642383454426297,-3.7139067635410377,-4.828078792603349,3.156820749009882,-5.0137741307804005
GO:0030036,2.4748737341529163,-2.4748737341529163,-3.5355339059327373,-3.8890872965260113,-2.82842712474619,-4.242640687119285,1.7677669529663687,-3.181980515339464
GO:1990748,0.2773500981126146,-0.8320502943378437,-2.4961508830135313,-3.05085107923876,-0.2773500981126146,-3.05085107923876,0.2773500981126146,-3.05085107923876
GO:0097237,0.2773500981126146,-0.8320502943378437,-2.4961508830135313,-3.05085107923876,-0.2773500981126146,-3.05085107923876,0.2773500981126146,-3.05085107923876
GO:0098754,0.2773500981126146,-0.8320502943378437,-2.4961508830135313,-3.05085107923876,-0.2773500981126146,-3.05085107923876,0.2773500981126146,-3.05085107923876
GO:0097435,3.6514837167011076,-2.556038601690775,-3.2863353450309964,-4.381780460041329,-2.9211869733608857,-4.74692883171144,2.9211869733608857,-3.6514837167011076
